"Time","Operation","Transfer(MKR)","Stake(MKR)","Executive/Poll","Options","Deci-sive"
"2021-09-16 16:00:00 013237728_000_000","FINAL_CHOICE","","28,312.07","Add GUNIV3DAIUSDC1-A as a new Vault Type - September 13, 2021","Yes",""
"2021-09-15 13:50:47 013230678_019_000_0","CHOOSE","","28,312.07","Ratification Poll for StarkNet Engineering Core Unit, SNE-001 - September 13, 2021","Yes",""
"2021-09-13 20:04:21 013219447_278_000_0","CHOOSE","","28,312.07","Ratification Poll for Modify Core Unit Budget - Sustainable Ecosystem Scaling (MIP40c3-SP31) - September 13, 2021","Yes",""
"2021-09-13 20:04:21 013219447_278_000_0","CHOOSE","","28,312.07","Add GUNIV3DAIUSDC1-A as a new Vault Type - September 13, 2021","Yes",""
"2021-09-13 20:04:21 013219447_278_000_0","CHOOSE","","28,312.07","Ratification Poll for RWA Foundations (MIP58) - September 13, 2021","Abstain",""
"2021-09-13 20:04:21 013219447_278_000_0","CHOOSE","","28,312.07","Ratification Poll for StarkNet Engineering Core Unit, SNE-001 - September 13, 2021","Abstain",""
"2021-09-13 20:04:21 013219447_278_000_0","CHOOSE","","28,312.07","Ratification Poll for Development & UX Core Unit, DUX-001 - September 13, 2021","Yes",""
"2021-09-13 20:04:21 013219447_278_000_0","CHOOSE","","28,312.07","Ratification Poll for GovAlpha Core Unit Budget Q4 2021 to Q1 2022 (MIP40c3-SP29) - September 13, 2021","Yes",""
"2021-09-13 20:04:21 013219447_278_000_0","CHOOSE","","28,312.07","Ratification Poll for Collateral Engineering Services Core Unit, CES-001 - September 13, 2021","Yes",""
"2021-09-13 20:04:21 013219447_278_000_0","CHOOSE","","28,312.07","Ratification Poll for Risk Core Unit MKR Compensation (MIP40c3-SP25) -  September 13, 2021","Yes",""
"2021-09-13 20:04:21 013219447_278_000_0","CHOOSE","","28,312.07","Offboard KNC Legacy Token - September 13, 2021","Yes",""
"2021-09-13 20:04:21 013219447_278_000_0","CHOOSE","","28,312.07","Adopt the Debt Ceiling Instant Access Module (DC-IAM) for PSM-PAX-A - September 13, 2021","Yes",""
